headline,publisher,date,stock,headline_length,keywords,hour
"Morgan Stanley Maintains Calpine at Overweight, Raises PT from $22 to $27",webmaster,,CPN,73,"['morgan stanley maintains calpine', 'overweight', 'raises pt']",
Goldman Lowers Its View On Retail REITS,Manikandan Raman,,SKT,39,"['goldman lowers', 'reits']",
"News Corp May Cut More than 100 Jobs, According to Source -DJ",Charles Gross,,NWSA,61,"['corp may cut', 'jobs', 'according', 'source']",
"Ever-Glory Shares Up 10% On Very Light Volume (~300 Shares) Following Form 4 Filing From Co. CEO, Pres Yihua Kang Showing Purchase Of 174.8K Shares On Oct. 9 For $524.4K",Benzinga Newsdesk,,EVK,169,"['ever-glory shares up', 'shares', 'following form', 'filing', 'ceo', 'pres yihua kang showing purchase', 'shares', 'oct.', '$ 524.4k']",
Stifel Upgrades Yamana Gold to Buy,Benzinga_Newsdesk,,AUY,34,"['stifel upgrades yamana', 'buy']",
"Citigroup Maintains Coopers at Neutral, Raises PT from $92 to $98",Juan Lopez,,COO,65,"['citigroup maintains', 'neutral', 'raises pt']",
Afternoon Losers; American Superconductor Down Nearly 10%,Eddie Staley,,DDD,57,"['afternoon losers', 'superconductor down']",
Forward Air Announces Purchase of Multi-Modal for $5.75M,Paul Quintaro,,FWRD,56,"['forward', 'announces purchase', 'multi-modal', '$ 5.75m']",
USA Technologies 8-K Shows Co. Received Notice From Nasdaq Listing Qualifications Dept. Related To Non Compliance With Listing Rule To Hold Annual Shareholders Meeting Within 12 Months Following End Of Fiscal Period,Benzinga Newsdesk,,USAT,215,"['usa technologies', 'shows co', 'received notice', 'nasdaq listing qualifications dept', 'related', 'non compliance', 'listing', 'hold annual shareholders meeting', 'months following', 'fiscal period']",
"Stocks That Will Be Trading Ex Dividend Mon., Oct. 29, 2018",Benzinga Newsdesk,,FCCO,59,"['stocks', 'will be', 'ex dividend mon.', 'oct.']",
18 Stocks Moving In Friday's Pre-Market Session,Lisa Levin,,PG,47,"['stocks', 'pre-market session']",
"Insiders Trading HAIN, APKT, ANDS, DISH",webmaster,,DISH,39,"['insiders', 'hain', 'apkt', 'ands', 'dish']",
Ukraine Tension Prominent As Dow Suffers Triple Digit Loss; S&P 500 & NASDAQ Also Lower,Jayson Derrick,,KO,87,"['ukraine', 'prominent', 'dow suffers triple digit loss', 'nasdaq', 'lower']",
Sears Spinoff Seritage Growth Up Huge After Warren Buffett Takes 8% Stake,Jayson Derrick,,SHLD,73,"['sears spinoff seritage', 'up huge', 'warren buffett takes', 'stake']",
"Aggressive Growth Stock Picks-Nov.19, 2010 - Zacks Rank Buys",Zacks,,NEWP,60,"['aggressive', 'growth stock', 'picks-nov.19', 'zacks rank buys']",
"Earnings Scheduled For May 5, 2016",Monica Gerson,,MFC,34,"['earnings scheduled', 'may']",
Eli Lilly Issues Statement Related to Intention to Cancel Listing of London Stock Exchange Shares,Paul Quintaro,,LLY,97,"['eli lilly issues statement related', 'intention', 'cancel listing', 'london', 'stock exchange', 'shares']",
America Wants More Organic Products Than Anyone Else: Here's How To Play It,Javier Hasse,,SFM,75,"['america wants', 'organic products than', 'else']",
SocGen Initiates Big Drug/Pharma Names,Paul Quintaro,,NVS,38,"['socgen initiates', 'drug/pharma names']",
Teradata Announces Will Showcase Benefits of Data-Driven Gov't at DATA Summit,Paul Quintaro,,TDC,77,"['teradata announces will showcase benefits', ""data-driven gov't"", 'data summit']",
7 Stocks You Should Be Watching Today,Monica Gerson,,JNJ,37,"['stocks', 'be watching']",
Stocks That Hit 52-Week Lows On Friday,Lisa Levin,,MRO,38,"['stocks', 'lows']",
5 Biggest Price Target Changes For Tuesday,Lisa Levin,,JBL,42,['biggest price target'],
Stocks That Hit 52-Week Lows On Thursday,Lisa Levin,,IP,40,"['stocks', 'lows']",
Top 4 Stocks In The Residential Construction Industry With The Lowest PEG Ratio,Monica Gerson,,LEN,79,"['top', 'stocks', 'lowest peg ratio']",
Stifel Nicolaus Upgrades Teekay LNG Partners to Buy,Benzinga Newsdesk,,TGP,51,"['stifel nicolaus upgrades teekay lng partners', 'buy']",
February Consumer Price Index 0.5% vs. 0.4%,Benzinga Staff,,XLP,43,"['february', 'price index']",
"Earnings Scheduled For March 18, 2013",Monica Gerson,,AGM,37,"['earnings scheduled', 'march']",
Atlas Holdings LLC to Purchase AGI Media & Entertainment Packaging (MWV),Benzinga Staff,,MWV,72,"['atlas holdings llc', 'purchase agi media', 'entertainment packaging', 'mwv']",
RBC Capital Downgrades Credit Suisse Group to Sector Perform,Hal Lindon,,CS,60,"['rbc capital downgrades credit suisse', 'sector perform']",
The Line On Hardlines With Brian Sozzi (TBL),Benzinga Staff,,NWY,44,"['hardlines', 'brian sozzi', 'tbl']",
4 Key Takeaways From ASCO,Javier Hasse,,PFE,25,"['key takeaways', 'asco']",
"Bed Bath & Beyond Says Q3 Was Significantly Impacted By Calendar Shift Of Thanksgiving Holiday, Resulting In One Less Week Of Holiday Sales; Also Says Believes It Is Appropriate To Withdraw Its Fiscal 2019 Full Year Financial Guidance.",Benzinga Newsdesk,,BBBY,235,"['bed bath', 'says q3 was significantly impacted', 'calendar shift', 'thanksgiving holiday', 'resulting', 'less', 'holiday', 'says believes', 'appropriate', 'withdraw', 'fiscal', 'full year', 'financial guidance']",
"Digi Int'l Sees FY18 EPS $(0.01)-$0.01 vs $(0.05) Estimate, Adj. EBITDA $21M-$22M, Sales $223M-$227M vs $218.7M Est.",Benzinga Newsdesk,,DGII,116,"['digi int', 'fy18 eps', 'vs $', 'estimate', 'adj', 'ebitda', '$ 21m- $ 22m', '$ 223m- $ 227m vs $ 218.7m', 'est']",
Inside Mortgage Finance Reports Ocwen May be for Sale,Charles Gross,,OCN,53,"['mortgage finance reports', 'ocwen may', 'sale']",
PowerShares Becomes Latest Competitor In Plain Vanilla Fee War,ETF Professor,,QQQ,62,"['powershares becomes latest competitor', 'plain vanilla fee']",
Notable Call Options Activity in Canadian Solar,Michael J. Zerinskas,,CSIQ,47,"['call options activity', 'solar']",
Int'l. Speedway Raises Qtr. Dividend From $0.47 To $0.49/Share,Benzinga Newsdesk,,ISCA,62,"['int', 'speedway raises qtr', 'dividend', '$ 0.49/share']",
"UPDATE: Plug Power Shares Rise 45%, Above the $4 Level, Following Announcement of Deal with Fedex",Charles Gross,,PLUG,97,"['update', 'plug power shares rise', 'level', 'following announcement', 'deal', 'fedex']",
"Nustar GP Holdings, LLC Reports Q3 EPS of $0.41 vs $0.40 Est",Paul Quintaro,,NSH,60,"['nustar gp holdings', 'llc', 'q3 eps', 'vs $', 'est']",
Regency Centers Purchases Oak Shade Town Center for $35 Million,Allie Wickman,,REG,63,"['regency centers purchases', 'shade', 'town center', 'million']",
FDA To Review Alzheimer's Brain Scan (LLY),Gary Cassady,,LLY,42,"['fda', 'review alzheimer', ""'s brain"", 'scan', 'lly']",
Owens-Illinois Acquires Almost 50% of Empresas Comegua for $119M,Benzinga Newsdesk,,OI,64,"['owens-illinois acquires', 'empresas comegua', '$ 119m']",
Top 4 NASDAQ Stocks In The Marketing Services Industry With The Highest Revenue,Monica Gerson,,CTCT,79,"['top', 'nasdaq stocks', 'highest']",
"Stocks Which Set New 52-Week High Yesterday, September 17th",Benzinga Newsdesk,,PDEX,59,"['stocks', 'set', 'new 52-week', 'yesterday', 'september']",
"Shares of several healthcare companies are trading higher on continued optimism amid the reopening of the economy, which would increase consumer spending and economic activity.",Benzinga Newsdesk,2020-06-08 15:41:28+00:00,ALXN,176,"['shares', 'healthcare companies', 'consumer spending', 'economic activity']",15.0
"Benzinga's Top Upgrades, Downgrades For February 26, 2018",Lisa Levin,,DIN,57,"['benzinga', 'top upgrades', 'downgrades', 'february']",
CymaBay Therapeutics Granted EMA Orphan Drug Designation for Seladelpar for Treatment of Primary Biliary Cholangitis,Paul Quintaro,,CBAY,116,"['cymabay therapeutics granted ema orphan drug designation', 'seladelpar', 'primary biliary cholangitis']",
Watch These 5 Huge Put Purchases In Thursday Trade,Lisa Levin,,NVDA,50,"['watch', 'huge', 'purchases']",
"Envision Healthcare Reports Q4 Adj. EPS $1.15 vs. YoY $1.07, Sales $1.39B vs. YoY $704.3M",Paul Quintaro,,EVHC,89,"['envision healthcare', 'q4 adj', 'eps', 'yoy', '$ 1.39b', 'yoy', '$ 704.3m']",
Garmin Receives Positive Mad Money/Jim Cramer Mention -CNBC,Charles Gross,,GRMN,59,['garmin receives positive mad money/jim cramer mention'],
Amazon's Web Services Conference Takeaways From Deutsche Bank,Manikandan Raman,,RHT,61,"['amazon', 'web', 'takeaways', 'deutsche']",
"Keep an Eye on These 7 Stocks for February 1, 2016",Monica Gerson,,AET,50,"['keep', 'eye', 'stocks', 'february']",
Raymond James Downgrades Harsco Corporation to Outperform,Paul Quintaro,,HSC,57,"['raymond james downgrades harsco', 'outperform']",
"Benzinga's M&A Chatter for Tuesday January 10, 2012",Charles Gross,,AOL,51,"['benzinga', ""'s m"", 'chatter', 'january']",
Stocks Hitting 52-Week Highs,Lisa Levin,,GSL,28,"['stocks', 'highs']",
TiVo Reports Expansion Of IP Licensing Deal With TCL In North America,Paul Quintaro,,TIVO,69,"['tivo', 'expansion', 'ip licensing deal', 'tcl', 'america']",
CareDx Reports Proposed Public Offering of Common Stock,Paul Quintaro,,CDNA,55,"['caredx', 'proposed', 'offering', 'common stock']",
IPO Outlook: Shake Shack IPO Set To Wrap Up Busy Week,Charles Enser,,MS,53,"['ipo outlook', 'shake shack ipo set', 'wrap up busy']",
Earnings Preview: Prudential's Revenue Expected to Fall from Previous Quarter,Benzinga Staff Writer,,AFL,77,"['earnings preview', 'prudential', ""'s revenue"", 'expected', 'previous quarter']",
"Morning Losers for Mar. 6, 2014: LOV, XGTI, SPLS, PLCE, MXWL, P, PLUG, COST",Paul Quintaro,,LOV,75,"['morning losers', 'mar', 'lov', 'xgti', 'spls', 'plce', 'mxwl', 'plug', 'cost']",
"Feuerstein: Most Americans Aren't Aware On Daily Basis Of Drug Pricing Issue, Although Inconsequential, New Mainstream Attention Could Create Groundswell",Hal Lindon,,IBB,153,"['feuerstein', 'aware', 'basis', 'drug pricing', 'inconsequential', 'mainstream attention', 'create groundswell']",
Commodities Broadly Higher Into the Close,Paul Quintaro,,SLV,41,"['commodities', 'close']",
'Mad Money Lightning Round': Stick With Mosaic,webmaster,,TAP,46,"[""'mad money"", 'lightning', 'stick', 'mosaic']",
Oiltanking Holding Americas Announces United Bulk Terminal Acquisition,Eddie Staley,,OILT,70,"['oiltanking holding americas announces', 'bulk terminal acquisition']",
Mid-Afternoon Market Update: Perrigo Slips On Earnings Miss; Sunedison Semiconductor Shares Surge,Lisa Levin,,IM,97,"['mid-afternoon market update', 'perrigo slips', 'earnings miss', 'sunedison semiconductor shares surge']",
PG&E Files Formal Papers on Chapter 11 Restructuring Strategy; Plan Offers Nearly $18B to Wildfire Victims and Public Entities,Charles Gross,,PCG,126,"['pg', 'e files formal papers', 'restructuring strategy', 'offers', '$ 18b', 'wildfire victims', 'entities']",
Option Alert: eBay Apr 36.0 Calls: 900 @ Above Ask! $0.45: 928 traded vs 488 OI: Earnings 4/25 After Close (est) $33.74 Ref,Charles Gross,,EBAY,123,"['option alert', 'apr', 'oi', 'earnings', 'close', 'ref']",
Valuations now look extremely attractive,Covestor,,MTW,40,['valuations'],
Morning Market Losers,Monica Gerson,,YGE,21,['morning market losers'],
AudioCodes Announces Restructuring of Operations,Allie Wickman,,AUDC,48,"['audiocodes announces restructuring', 'operations']",
"Craig-Hallum Downgrades S&W Seed to Hold, Lowers Price Target to $4.00",Paul Quintaro,,SANW,70,"['craig-hallum downgrades', 'seed', 'hold', 'lowers price target']",
"Engility Holdings Reports Q3 EPS $0.26 vs $(0.46) In Same Qtr. Last Year, Sales $487M vs $511.8 YoY",Hal Lindon,,EGL,99,"['engility holdings', 'q3 eps', 'vs $', 'qtr', '$ 487m vs $', 'yoy']",
Noranda Aluminum Holding Corp. Trading Higher Today,BenzingaStaffJ,,NOR,51,['noranda aluminum holding'],
Mid-Day Market Update: Tile Shop Drops On Earnings Miss; Educational Development Shares Climb,Lisa Levin,,BAC,93,"['mid-day market update', 'tile', 'drops', 'earnings miss', 'educational', 'shares climb']",
Asmussen Says German Q3 will be Weaker than Q2,Charles Gross,,EWG,46,"['asmussen says', 'q3', 'weaker', 'q2']",
"DSt Systems Q1 EPS $1.45 vs $1.26 Est, Sales $379.8M vs $381.0M Est",Paul Quintaro,,DST,67,"['dst systems q1 eps', 'vs $', 'est', '$ 379.8m vs $ 381.0m', 'est']",
"VIVUS Board Names Michael Astrue as Chairman, Tony Zook as CEO",Charles Gross,,VVUS,62,"['vivus', 'names michael astrue', 'tony zook', 'ceo']",
Cramer: Anbang Will Get Starwood,Manikandan Raman,,HOT,32,"['cramer', 'anbang will', 'starwood']",
"Westamerica Bancorporation Reports Q3 EPS of $0.58, Inline",Paul Quintaro,,WABC,58,"['westamerica bancorporation', 'q3 eps', 'inline']",
UPDATE: Wells Fargo Initiates Coverage on Achillion Pharmaceuticals,Phil Marsh,,ACHN,67,"['update', 'fargo initiates coverage', 'achillion pharmaceuticals']",
Stocks Hitting 52-Week Highs,Lisa Levin,,GRMN,28,"['stocks', 'highs']",
Stocks That Hit 52-Week Lows On Thursday,Lisa Levin,2020-03-12 16:10:12+00:00,CRNT,40,"['stocks', 'lows']",16.0
The Life Of A Taco Analyst,Wayne Duggan,,CMG,26,['taco analyst'],
"WP Carey Q3 FFO $1.34 vs $1.20 Est, Revenue $180M vs $176M Est",Paul Quintaro,,WPC,62,"['wp carey q3 ffo', 'vs $', 'est', 'revenue $ 180m vs $ 176m', 'est']",
Mid-Morning Market Update: Markets Open Higher; Toll Brothers Profit Tops Views,Lisa Levin,,AT,79,"['mid-morning market update', 'markets', 'profit tops views']",
Morgan Stanley Sees Full Valuation For Abercrombie & Fitch,Dwight Einhorn,,ANF,58,"['morgan stanley', 'valuation', 'abercrombie', 'fitch']",
Magal Earlier Announced Receipt Of $2.4M In Perimeter Security Contracts For International Airports,Benzinga Newsdesk,2019-10-31 13:49:31+00:00,MAGS,99,"['magal', 'announced receipt', '$ 2.4m', 'perimeter', 'contracts', 'airports']",13.0
"Sector Update: Consumer Goods Leading, Utilities Lagging",Abe Raymond,,XLI,56,"['sector update', 'goods', 'utilities lagging']",
Arena Says Eisai Will Double BELVIQ Sales Force to 400 Reps,Paul Quintaro,,ARNA,59,"['arena says eisai will', 'belviq', 'reps']",
"Option Alert: Skechers August 29 Call; 15,072 Contracts Traded vs 805 Open Interest; Currently $26.97",Charles Gross,,SKX,101,"['option alert', 'skechers august', 'call', 'contracts traded', 'interest', 'currently']",
"J&J Announces Definitive Deal to Buy Aragon Pharma, to Make $650M Upfront Payment",Paul Quintaro,,JNJ,81,"['j announces definitive deal', 'buy aragon pharma', '$ 650m', 'upfront payment']",
Western Refining to Acquire ConocoPhillips 25K BPD Wingate Plant; Terms Not Disclosed,Charles Gross,,NTI,85,"['refining', 'acquire conocophillips', 'bpd wingate', 'terms', 'disclosed']",
S&P Downgrades Tupperware From BBB- To BB+; Outlook Negative,Benzinga Newsdesk,,TUP,60,"['p downgrades tupperware', 'bbb-', 'bb+', 'outlook negative']",
18 Stocks Moving In Friday's Pre-Market Session,Monica Gerson,,MLNX,47,"['stocks', 'pre-market session']",
"ADP Sees FY20 Sales Growth ~3%, Adj. EPS Growth 4-7%",Benzinga Newsdesk,,ADP,52,"['adp', 'fy20', 'growth ~3 %', 'adj', 'eps']",
"The Market In 5 Minutes: Nvidia, Roku, Star Wars, And More",Benzinga Newsdesk,,H,58,"['market', 'minutes', 'nvidia', 'roku', 'wars']",
30 Stocks Moving In Tuesday's Mid-Day Session,Lisa Levin,,ENPH,45,"['stocks', 'mid-day session']",
"FBR Upgrades American Eagle: Upside, Execution, Value 'Hard To Ignore'",Jim Swanson,,AEO,70,"['fbr upgrades', 'eagle', 'upside', 'execution', 'value', 'ignore']",
"ENGlobal Reports Winning Of 2 Modifications For Existing Contracts With US Dept. Of Defense, Totaled ~$15M",Benzinga Newsdesk,,ENG,106,"['englobal', 'winning', 'modifications', 'existing contracts', 'dept', 'totaled', '~ $ 15m']",
Martin Midstream Increases Qtrly Dividend to $0.7875,David Johnson,,MMLP,52,['martin midstream increases qtrly dividend'],
Integra Adds iPASSAGE Retractor - Analyst Blog,Zacks,,MDT,46,"['integra adds', 'retractor', 'analyst blog']",
Stocks Hitting 52-Week Highs,Lisa Levin,,KO,28,"['stocks', 'highs']",
"General Growth Properties, Inc. and Kimco Realty Form Joint Venture Partnership to Redevelop Owings Mills Mall in Maryland",Matthew Kennedy,,GGP,122,"['general growth', 'properties', 'kimco realty form joint venture partnership', 'redevelop owings mills', 'maryland']",
Vishay COO Dieter Wunderlich To Retire Effective Dec. 31,Hal Lindon,,VSH,56,"['vishay coo dieter wunderlich', 'retire effective dec.']",
10 Biggest Price Target Changes For Monday,Lisa Levin,,CMG,42,['biggest price target'],
UPDATE: Kimberly-Clark Reports 6.3% Drop In Q3 Profit,Monica Gerson,,KMB,53,"['update', 'kimberly-clark', 'drop', 'q3 profit']",
"Stocks Which Set New 52-Week High Yesterday, August 23rd",Benzinga Newsdesk,,HSTM,56,"['stocks', 'set', 'new 52-week', 'yesterday', 'august']",
Devon Energy Corp. (DVN) remains strong above $68.7 level,Mark Moneymaster,,DVN,57,"['devon energy', 'dvn']",
Morgan Stanley Upgrades Accenture to Overweight,Eddie Staley,,ACN,47,"['morgan stanley upgrades accenture', 'overweight']",
Primoris Services Wins $28M New Master Service Deal With Major Utility Customer,Benzinga Newsdesk,,PRIM,79,"['primoris', 'wins', '$ 28m', 'new master service', 'deal', 'utility customer']",
RBC Capital Upgrades Teck Resources Ltd Ordinary Shares to Outperform,Paul Quintaro,,TCK,69,"['rbc capital upgrades teck resources ltd', 'shares', 'outperform']",
146 Biotechnology Stocks Moving In Thursday's Session,Benzinga Newsdesk,,CCXI,53,"['biotechnology stocks', 'session']",
Amazon Sees Q2 Sales $75B-$81B,Benzinga Newsdesk,,AMZN,30,"['amazon', 'q2', '$ 75b- $ 81b']",
"Chico's FAS, Inc. Files Definitive Proxy Materials and Mails Letter to Shareholders",Paul Quintaro,,CHS,83,"['chico', 'fas', 'inc', 'files definitive proxy materials', 'mails letter', 'shareholders']",
Newfield Exploration Announces Proposed $500 Million Public Offering of Senior Notes,Allie Wickman,,NFX,84,"['newfield exploration announces proposed', 'million', 'offering', 'senior notes']",
"Chunghwa Telecom Sees FY19 EPS NT$4.40-NT$4.60, Sales NT$220.56M-NT$222.91M",Benzinga Newsdesk,2019-01-29 12:53:58+00:00,CHT,75,"['chunghwa telecom', 'fy19 eps nt', '$ 4.40-nt $', 'nt', '$ 220.56m-nt $ 222.91m']",12.0
"The Daily Biotech Pulse: Novartis Psoriasis Drug Found Superior, Ascendis Offering, Adamas Earnings",Shanthi Rexaline,,XBI,99,"['biotech pulse', 'novartis psoriasis drug found', 'ascendis offering', 'adamas earnings']",
"Barclays Initiates Coverage On O-I Glass with Underweight Rating, Announces $12 Price Target",Benzinga_Newsdesk,,OI,92,"['barclays initiates coverage', 'o-i', 'underweight rating', 'announces', 'price target']",
"Qihoo 360 Reports Q1 Adj. Earnings $0.57/ADS vs $0.49/ADS Est., Sales $384.4M vs $378M Est.",Paul Quintaro,,QIHU,91,"['qihoo', 'q1 adj', 'earnings', '$ 0.57/ads vs $ 0.49/ads', 'est.', '$ 384.4m vs $ 378m', 'est']",
